id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14502513,Spacious NDG upper duplex / Monkland village,89233214,Christopher,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47379,-73.61668,Entire home/apt,66,32,106,2022-10-08,1.38,2,210,15,
15096125,Downtown Montreal Fully furnished apartment WIFI,72761895,Samuel,,Ville-Marie,45.49681,-73.58255,Entire home/apt,65,32,14,2022-11-09,0.19,70,317,5,
15789873,"Great Location, Near Everything! Clear Park View!",10513979,Amanda,,Ville-Marie,45.48923,-73.58458,Entire home/apt,102,90,2,2022-04-16,0.04,4,228,1,
15108488,One bedroom apartment in the Plateau,23874199,Kiera,,Le Plateau-Mont-Royal,45.51898,-73.57187,Entire home/apt,65,5,9,2017-05-11,0.12,1,0,0,
15817402,Loft lumineux petite italie,58337091,Vincent,,Rosemont-La Petite-Patrie,45.53316,-73.61035,Entire home/apt,80,1,5,2017-01-08,0.07,1,0,0,
14503222,Natural Zen 1BR~ Downtown Montreal!,66340481,Daniel,,Ville-Marie,45.51158,-73.56406,Entire home/apt,113,1,27,2022-10-30,0.36,40,60,4,
15115693,Spacious historical apt. Free 🅿️near🚉5 min to DT,241726747,P,,Le Sud-Ouest,45.48335,-73.58163,Entire home/apt,97,110,140,2022-08-25,1.93,2,151,10,
14518051,2 BDS MODERN APP. W/PARK MILE END,6457421,Thomas,,Rosemont-La Petite-Patrie,45.53007,-73.6099,Entire home/apt,120,4,1,2016-08-27,0.01,1,0,0,
15116326,Liv MTL Urban-3 | Big 2BR | For Groups 5 * Reviews,73995257,Liv MTL,,Le Plateau-Mont-Royal,45.52156,-73.58531,Entire home/apt,258,2,136,2022-11-29,1.80,47,359,14,298467
14519503,Nice comfy apt in Plateau Mt Royal near everything,64185235,Dan,,Le Plateau-Mont-Royal,45.52552,-73.57524,Entire home/apt,115,3,9,2019-08-28,0.12,1,0,0,
15821363,Modern Little Nest,60228301,Lälou,,Rosemont-La Petite-Patrie,45.53958,-73.60941,Entire home/apt,114,2,1,2016-12-23,0.01,1,165,0,
15116683,Liv MTL Urban-4 | Big 2BR | For Groups 5 * Reviews,73995257,Liv MTL,,Le Plateau-Mont-Royal,45.52137,-73.58729,Entire home/apt,269,2,155,2022-10-23,2.05,47,361,9,298467
15829579,Prestige Condo DT Montreal Bell Center Concordia,102491740,Jerry,,Ville-Marie,45.49633,-73.56989,Entire home/apt,69,31,126,2022-12-01,1.72,1,108,4,
14521713,Relax in the heart of little Italy,51179038,Valeria,,Rosemont-La Petite-Patrie,45.5323,-73.61209,Private room,37,31,22,2022-11-13,0.29,1,0,3,
15127652,Studio station Frontenac,85092963,Laurence,,Ville-Marie,45.53289,-73.54825,Entire home/apt,25,1,1,2016-10-21,0.01,1,0,0,
15841721,LUX DOWNTOWN WITH PARKING (2BDR),97625334,Bella,,Ville-Marie,45.49681,-73.57107,Entire home/apt,269,2,5,2017-11-12,0.07,1,0,0,
