,neighbourhood,latitude,longitude,price,minimum_nights
0,Ville-Marie,45.51939,-73.56482,147,2
1,Ville-Marie,45.51929,-73.56493,278,3
2,Rosemont-La Petite-Patrie,45.53818,-73.6036,160,14
4,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47012,-73.60725,65,3
5,Rosemont-La Petite-Patrie,45.54157,-73.60737,97,3
6,Ville-Marie,45.50584,-73.55602,162,4
9,Ville-Marie,45.5089,-73.5534,339,2
11,Montréal-Ouest,45.45372,-73.6506,150,3
12,Ville-Marie,45.50519,-73.55422,234,2
16,Le Sud-Ouest,45.47812,-73.55698,446,3
17,Rosemont-La Petite-Patrie,45.53294,-73.61533,135,4
21,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46607,-73.62549,185,9
27,Le Plateau-Mont-Royal,45.51856,-73.57756,232,3
31,Outremont,45.52212,-73.61251,99,1
38,Le Plateau-Mont-Royal,45.52663,-73.60145,250,2
39,Le Sud-Ouest,45.47896,-73.58776,165,2
42,Le Plateau-Mont-Royal,45.51802,-73.59055,220,2
44,Rosemont-La Petite-Patrie,45.56718,-73.57658,99,2
45,Rosemont-La Petite-Patrie,45.53419,-73.6023,75,5
47,Lachine,45.43393,-73.68545,77,1
50,Rosemont-La Petite-Patrie,45.53411,-73.6024,75,5
51,Le Plateau-Mont-Royal,45.528545,-73.579308,104,2
54,Ville-Marie,45.51757,-73.55598,112,2
57,Ville-Marie,45.50659,-73.55441,384,2
61,Villeray-Saint-Michel-Parc-Extension,45.53429,-73.62026,137,2
62,Le Plateau-Mont-Royal,45.528431,-73.578979,225,2
63,Côte-Saint-Luc,45.45761,-73.6689,176,4
65,Le Plateau-Mont-Royal,45.53442,-73.58511,202,2
66,Le Plateau-Mont-Royal,45.52257,-73.59957,126,2
69,Le Plateau-Mont-Royal,45.5235,-73.5969,98,7
72,Le Plateau-Mont-Royal,45.52976,-73.58744,85,2
73,Rosemont-La Petite-Patrie,45.53179,-73.60689,186,2
75,Le Plateau-Mont-Royal,45.52205,-73.5993,150,7
77,Le Sud-Ouest,45.48062,-73.58676,95,1
80,Le Plateau-Mont-Royal,45.51878,-73.59151,209,3
84,Ville-Marie,45.51573,-73.56219,79,2
85,Rosemont-La Petite-Patrie,45.54721,-73.59024,48,1
88,Outremont,45.52061,-73.60998,600,1
89,Ville-Marie,45.51758,-73.55601,185,2
90,Rosemont-La Petite-Patrie,45.53951,-73.59968,65,3
93,Le Plateau-Mont-Royal,45.51884,-73.59048,113,1
103,Le Plateau-Mont-Royal,45.51899,-73.57939,69,2
113,Le Sud-Ouest,45.47939,-73.58701,80,1
115,Le Sud-Ouest,45.48956,-73.57042,119,3
117,Le Plateau-Mont-Royal,45.52283,-73.57179,131,2
120,Le Plateau-Mont-Royal,45.52326,-73.58894,200,3
121,Le Sud-Ouest,45.48177,-73.55727,98,2
124,Ville-Marie,45.5058,-73.56722,94,3
127,Le Plateau-Mont-Royal,45.51941,-73.57907,100,2
129,Ville-Marie,45.50714,-73.56763,49,2
130,Villeray-Saint-Michel-Parc-Extension,45.52745,-73.62008,250,3
132,Le Plateau-Mont-Royal,45.53152,-73.57408,120,4
135,Rosemont-La Petite-Patrie,45.53289,-73.60519,50,2
136,Rosemont-La Petite-Patrie,45.5367,-73.5932,250,5
140,Le Plateau-Mont-Royal,45.52155,-73.5667,94,14
144,Verdun,45.45856,-73.5711,150,2
145,Le Plateau-Mont-Royal,45.53546,-73.56782,85,3
146,Le Plateau-Mont-Royal,45.51949,-73.57924,68,7
148,Mercier-Hochelaga-Maisonneuve,45.55398,-73.5497,189,5
149,Le Plateau-Mont-Royal,45.51838,-73.5796,302,1
151,Mercier-Hochelaga-Maisonneuve,45.54974,-73.54547,380,1
157,Le Plateau-Mont-Royal,45.52526,-73.60819,140,4
158,Ville-Marie,45.50444,-73.55426,339,5
163,Ville-Marie,45.50188,-73.5557,188,3
175,Le Plateau-Mont-Royal,45.53484,-73.5841,140,2
183,Rosemont-La Petite-Patrie,45.53711,-73.59807,92,6
185,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47652,-73.62328,110,3
186,Le Plateau-Mont-Royal,45.51614,-73.581,100,3
188,Le Sud-Ouest,45.45187,-73.589,530,3
194,Ville-Marie,45.5215,-73.55805,70,2
195,Mercier-Hochelaga-Maisonneuve,45.5461,-73.54263,100,14
198,Le Sud-Ouest,45.48699,-73.5735,203,2
200,Le Plateau-Mont-Royal,45.53086,-73.57776,119,3
202,Le Sud-Ouest,45.48004,-73.58113,415,2
204,Villeray-Saint-Michel-Parc-Extension,45.54207,-73.61947,50,2
208,Ville-Marie,45.50922,-73.5519,97,2
210,Ville-Marie,45.50602,-73.55536,165,1
212,Rosemont-La Petite-Patrie,45.54706,-73.59011,48,1
213,Villeray-Saint-Michel-Parc-Extension,45.54376,-73.61496,134,1
214,Mercier-Hochelaga-Maisonneuve,45.54905,-73.55214,500,4
216,Le Plateau-Mont-Royal,45.53625,-73.58638,223,4
217,Ville-Marie,45.51244,-73.56744,145,2
221,Verdun,45.4561,-73.57337,237,2
223,Verdun,45.45032,-73.56707,309,7
226,Mercier-Hochelaga-Maisonneuve,45.55621,-73.53948,86,2
229,Ville-Marie,45.49935,-73.5558,346,3
232,Villeray-Saint-Michel-Parc-Extension,45.55887,-73.60963,109,2
233,Ville-Marie,45.52379,-73.5553,81,2
236,Rosemont-La Petite-Patrie,45.53421,-73.60252,90,5
237,Mercier-Hochelaga-Maisonneuve,45.5578,-73.53967,94,2
239,Côte-des-Neiges-Notre-Dame-de-Grâce,45.51505,-73.62383,103,7
241,Ville-Marie,45.51666,-73.55944,300,4
242,Rosemont-La Petite-Patrie,45.53921,-73.60777,78,1
243,Le Plateau-Mont-Royal,45.52702,-73.58339,497,2
246,Outremont,45.52098,-73.60877,75,2
247,Le Plateau-Mont-Royal,45.5362,-73.58311,250,7
248,Le Plateau-Mont-Royal,45.52145,-73.57727,125,4
253,Le Plateau-Mont-Royal,45.5342,-73.57388,236,7
254,Ville-Marie,45.52404022216797,-73.55719757080078,175,5
255,Le Plateau-Mont-Royal,45.53371,-73.57497,218,2
259,Le Plateau-Mont-Royal,45.51998,-73.57326,100,2
260,Ville-Marie,45.50409,-73.5643,650,1
262,Le Sud-Ouest,45.48172,-73.56808,100,3
274,Ville-Marie,45.52011,-73.55522,400,5
277,Le Plateau-Mont-Royal,45.52043,-73.59096,61,4
279,Le Plateau-Mont-Royal,45.51376,-73.5741,212,2
282,Le Plateau-Mont-Royal,45.53279,-73.57612,239,2
283,Ville-Marie,45.50152,-73.55854,239,7
285,Rosemont-La Petite-Patrie,45.548,-73.56127,160,3
286,Rosemont-La Petite-Patrie,45.54052,-73.60908,113,1
287,Villeray-Saint-Michel-Parc-Extension,45.54597,-73.61739,109,2
288,Ville-Marie,45.49862,-73.55977,163,3
290,Ville-Marie,45.53421,-73.56066,80,5
291,Le Plateau-Mont-Royal,45.52618,-73.59156,26,1
294,Le Plateau-Mont-Royal,45.52391,-73.58571,230,2
295,Le Plateau-Mont-Royal,45.526554,-73.603584,186,3
296,Ville-Marie,45.49816,-73.58679,130,7
297,Le Plateau-Mont-Royal,45.52052,-73.59848,244,2
302,Ville-Marie,45.5142,-73.56562,100,2
303,LaSalle,45.4184,-73.61275,176,2
305,Le Sud-Ouest,45.46072,-73.59646,200,4
306,Rosemont-La Petite-Patrie,45.5425816,-73.5950505,110,3
308,Ville-Marie,45.51613,-73.5553,360,1
309,Rosemont-La Petite-Patrie,45.53867,-73.60403,150,14
310,Le Plateau-Mont-Royal,45.52476,-73.58076,177,2
311,Le Sud-Ouest,45.47963,-73.57804,59,3
312,Rosemont-La Petite-Patrie,45.53999,-73.60696,63,1
317,Ville-Marie,45.51456,-73.55668,265,2
319,Mercier-Hochelaga-Maisonneuve,45.54476,-73.53941,63,8
320,Rosemont-La Petite-Patrie,45.53275,-73.6159,100,5
321,Ville-Marie,45.4948,-73.58029,85,4
325,Rosemont-La Petite-Patrie,45.54856,-73.57962,386,2
327,Le Sud-Ouest,45.48995,-73.56535,19,10
333,Le Plateau-Mont-Royal,45.52143,-73.57345,101,2
337,Le Plateau-Mont-Royal,45.53285,-73.58246,111,2
338,Villeray-Saint-Michel-Parc-Extension,45.54055,-73.61738,140,7
340,Rosemont-La Petite-Patrie,45.54841,-73.58871,150,4
346,Dollard-des-Ormeaux,45.5006434,-73.7785486,49,1
347,Le Sud-Ouest,45.46221,-73.58977,54,2
349,Ville-Marie,45.49487,-73.57999,96,4
350,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46878,-73.6219,218,7
351,Le Plateau-Mont-Royal,45.51882,-73.58438,375,7
352,Rosemont-La Petite-Patrie,45.53117,-73.60881,125,3
353,Le Plateau-Mont-Royal,45.53118,-73.57791,82,3
354,Le Plateau-Mont-Royal,45.5306,-73.56414,100,3
355,Le Plateau-Mont-Royal,45.52155,-73.57456,177,5
357,Le Plateau-Mont-Royal,45.51849,-73.58655,65,1
358,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47502,-73.60687,87,1
359,Le Plateau-Mont-Royal,45.52747,-73.58711,46,2
361,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4818,-73.62408,86,2
362,Pierrefonds-Roxboro,45.50901,-73.78884,300,7
363,Ville-Marie,45.51768,-73.56383,277,2
364,Le Plateau-Mont-Royal,45.52777,-73.58024,213,7
366,Le Plateau-Mont-Royal,45.53855,-73.5706,99,4
369,Le Plateau-Mont-Royal,45.52804,-73.58501,87,2
371,Le Plateau-Mont-Royal,45.52798,-73.58715,60,2
372,Ville-Marie,45.50438,-73.55943,205,3
373,Outremont,45.51835,-73.59647,50,2
378,Pierrefonds-Roxboro,45.50756,-73.81087,142,1
379,Ville-Marie,45.5154,-73.55641,90,2
380,Villeray-Saint-Michel-Parc-Extension,45.53073,-73.63649,100,1
381,Dollard-des-Ormeaux,45.48006,-73.8384,50,2
382,Le Plateau-Mont-Royal,45.53231,-73.58207,240,7
383,Le Plateau-Mont-Royal,45.52218,-73.57091,104,5
385,Ville-Marie,45.48868,-73.58208,106,1
388,Ville-Marie,45.51323,-73.56307,105,4
393,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46734,-73.62189,218,7
396,Ville-Marie,45.5054,-73.56355,245,2
398,Rosemont-La Petite-Patrie,45.53767,-73.60556,160,1
400,Le Sud-Ouest,45.47422,-73.58983,60,6
405,Mercier-Hochelaga-Maisonneuve,45.54617,-73.54973,164,5
406,Le Sud-Ouest,45.45575,-73.58803,55,7
407,Villeray-Saint-Michel-Parc-Extension,45.53393,-73.62051,50,1
414,Ville-Marie,45.5054,-73.56341,284,2
415,Ahuntsic-Cartierville,45.54971,-73.67285,99,4
417,Verdun,45.45875,-73.56655,95,1
419,Rosemont-La Petite-Patrie,45.53442,-73.61509,97,2
420,Le Plateau-Mont-Royal,45.52331,-73.6004,164,12
422,Rosemont-La Petite-Patrie,45.54316,-73.6063,69,1
423,Le Plateau-Mont-Royal,45.52164,-73.59317,120,3
425,LaSalle,45.43349,-73.64436,66,14
426,Villeray-Saint-Michel-Parc-Extension,45.54258,-73.63469,400,4
428,Le Plateau-Mont-Royal,45.51994,-73.58223,225,7
431,Outremont,45.51903,-73.6095,240,2
433,Le Plateau-Mont-Royal,45.52931,-73.57877,237,3
434,Le Plateau-Mont-Royal,45.50941,-73.57234,179,1
435,Ville-Marie,45.50536,-73.56337,352,2
436,Le Sud-Ouest,45.49261,-73.56066,150,10
437,Ville-Marie,45.5054,-73.56341,262,2
441,Le Plateau-Mont-Royal,45.52256,-73.59885,149,11
444,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46055,-73.62855,70,4
445,Ville-Marie,45.50221,-73.57714,88,2
447,Le Plateau-Mont-Royal,45.53577,-73.56589,347,3
449,Ville-Marie,45.5072,-73.55344,214,2
450,Le Plateau-Mont-Royal,45.5245,-73.57852,109,4
451,Le Plateau-Mont-Royal,45.524,-73.60045,207,4
452,Le Plateau-Mont-Royal,45.51978,-73.59074,115,7
454,Ville-Marie,45.52827,-73.55534,136,3
455,Rosemont-La Petite-Patrie,45.55529,-73.58989,128,7
459,Le Sud-Ouest,45.46071,-73.58617,66,3
464,Le Plateau-Mont-Royal,45.52526,-73.59073,60,5
465,Rosemont-La Petite-Patrie,45.56722,-73.577,99,2
467,Le Sud-Ouest,45.45912,-73.58618,66,2
475,Rosemont-La Petite-Patrie,45.56287,-73.58592,102,7
476,Le Plateau-Mont-Royal,45.5345,-73.5879,150,2
477,Rosemont-La Petite-Patrie,45.5685,-73.56257,425,1
